id,id_original,label,ctype,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo (Red Cómo Vamos),Anillo,Capitulo (Bogotá),Entidad responsable,Metodo de recolección,Descripción del indicador,Observaciones
v4_e_007,04-e-007,"Tasa de deserción educación preescolar, básica primaria, básica secundaria y media vocacional pública",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Encuesta C-600,Número de niños que  abandonan el colegio / matricula año inmediatamente anterior,0
v4_e_029,04-e-029,"Tasa de deserción educación preescolar, básica primaria, básica secundaria y media vocacional privada",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo sobre la población vinculada formalmente al sistema educativo",0
v4_e_030,04-e-030,Tasa de deserción educación preescolar pública,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo (público y privado), en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado preescolar.",0
v4_e_031,04-e-031,Tasa  de Deserción para el Sector Privado Preescolar,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Registro de Información  Estadística SED año 2014. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado preescolar.",0
v4_e_032,04-e-032,Tasa de deserción educación primaria pública,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo (público y privado), en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado primaria.",0
v4_e_033,04-e-033,Tasa  de Deserción para el Sector Privado Primaria,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Registro de Información  Estadística SED año 2014. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en primaria",0
v4_e_034,04-e-034,Tasa de deserción educación secundaria pública,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo (público y privado), en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado secundaria.",0
v4_e_035,04-e-035,Tasa  de Deserción para el Sector Privado Secundaria,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Registro de Información  Estadística SED año 2014. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado secundaria.",0
v4_e_036,04-e-036,Tasa de deserción educación media pública,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo (público y privado), en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado media vocacional.",0
v4_e_037,04-e-037,Tasa  de Deserción para el Sector Privado Media,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Registro de Información  Estadística SED año 2014. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el nivel de educación media.",0
v4_e_038,04-e-038,"Tasa de repitencia en básica primaria, básica secundaria y media vocacional pública",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide los estudiantes repitentes en un nivel educativo sobre los estudiantes matriculados en este nivel del  sector oficial,0
v4_e_039,04-e-039,"Tasa de repitencia en básica primaria, básica secundaria y media vocacional privada",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Se define como la proporción de estudiantes que están cursando el grado académico por segunda o más veces.,0
v4_e_041,04-e-041,Tasa de repitencia preescolar pública,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Se define como la proporción de estudiantes que están cursando el grado académico por segunda o más veces.,0
v4_e_042,04-e-042,Tasa de repitencia en preescolar para sector privado,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.
",Registro Administrativo,Es la relación existente entre el número de estudiantes que no fueron promocionados al grado siguiente y la población matriculada en ese grado específico.,0
v4_e_043,04-e-043,Tasa de repitencia primaria pública,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Se define como la proporción de estudiantes que están cursando el grado académico por segunda o más veces.,0
v4_e_044,04-e-044,Tasa de repitencia en primaria para sector privado,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.
",Registro Administrativo,Es la relación existente entre el número de estudiantes que no fueron promocionados al grado siguiente y la población matriculada en ese grado específico..,0
v4_e_046,04-e-046,Tasa de repitencia secundaria pública,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Se define como la proporción de estudiantes que están cursando el grado académico por segunda o más veces.,0
v4_e_047,04-e-047,Tasa de repitencia en secundaria para sector privado,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Es la relación existente entre el número de estudiantes que no fueron promocionados al grado siguiente y la población matriculada en ese grado específico..,NA,0
v4_e_049,04-e-049,Tasa de repitencia media pública,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.
",Registro Administrativo,Es la relación existente entre el número de estudiantesque no fueron promocionados al grado siguiente y la población matriculada en ese grado específico..,0
v4_e_051,04-e-051,Tasa de repitencia en media para sector privado,Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.
",Registro Administrativo,Es la relación existente entre el número de estudiantesque no fueron promocionados al grado siguiente y la población matriculada en ese grado específico..,0
v4_e_052,04-e-052,Años promedio de educación población de 15 a 24 años,Nu,DANE,Número,Años,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Encuesta,Años promedios de educación cursados por la personas entre 15 y 24  años,0
v4_e_053,04-e-053,Tasa de analfabetismo de 15 a 24 años,Nu,DANE,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Encuesta,Mide la población de 15 a 24 años que no sabe leer ni escribir sobre la población total de 15 a 24 años,0
v4_e_054,04-e-054,Relación Alumno docente preescolar pública,Nu,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide el número de alumnos que hay en el colegio por cada docente de aula en el nivel de preescolar,0
v4_e_055,04-e-055,Relación Alumno docente primaria pública,Nu,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide el número de alumnos que hay en el colegio por cada docente de aula en el nivel de primaria,0
v4_e_056,04-e-056,Relación Alumno docente básica secundaria y media pública,Nu,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide el número de alumnos que hay en el colegio por cada docente de aula en los nivles de básica secundaria y media,0
v4_e_057,04-e-057,Relación Alumno docente total pública,Nu,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide el número de alumnos que hay en el colegio por cada docente de aula.,0
v4_e_059,04-e-059,Número de estudiantes matriculados en carreras técnicas,Nu,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Encuesta,Mide el número de estudiantes matriculados en carreras técnicas,0
v4_e_060,04-e-060,"Porcentaje de los colegios oficiales clasificados en las categorías ""A+ ""y ""A"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Porcentaje de Colegios oficiales que tuvieron un promedio de A+ y A frente al total de instituciones oficiales,0
v4_e_061,04-e-061,"Porcentaje de los colegios oficiales clasificados en ""B "" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios oficiales que tuvieron un promedio de ""B"" frente al total de instituciones oficiales",0
v4_e_062,04-e-062,"Porcentaje de los colegios oficiales clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios oficiales que tuvieron un promedio de ""C"" y ""D"" frente al total de instituciones oficiales",0
v4_e_063,04-e-063,"Porcentaje de los colegios NO oficiales clasificados en las categorías ""A+"" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios NO oficiales que tuvieron un promedio de ""A+"" y ""A"" frente al total de instituciones oficiales",0
v4_e_064,04-e-064,"Porcentaje de los colegios NO oficiales clasificados en categoría ""B"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios NO oficiales que tuvieron un promedio de ""B"" frente al total de instituciones oficiales",0
v4_e_065,04-e-065,"Porcentaje de los colegios NO oficiales clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios NO oficiales que tuvieron un promedio de ""C"" y ""D"" frente al total de instituciones oficiales",0
v4_e_066,04-e-066,"Porcentaje de los colegios en Concesión clasificados en ""A+ "" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Concesión  que tuvieron un promedio de ""A+"" y ""A"" frente al total de estas instituciones",0
v4_e_067,04-e-067,"Porcentaje de los colegios en Concesión clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Concesión  que tuvieron un promedio de ""B"" frente al total de estas instiituciones",0
v4_e_068,04-e-068,"Porcentaje de los colegios en concesión clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Concesión  que tuvieron un promedio de ""C"" y ""D"" frente al total de estas oficiales",0
v4_e_069,04-e-069,"Porcentaje de los colegios en Convenio clasificados en ""A+ "" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""A+"" y ""A"" frente al total de estas instituciones",0
v4_e_070,04-e-070,"Porcentaje de los colegios en Convenio clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""B"" frente al total de estas instituciones",0
v4_e_071,04-e-071,"Porcentaje de los colegios en Convenio clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""C""y ""D"" frente al total de estas instituciones",0
v4_e_072,04-e-072,"Porcentaje de los colegios en régimen especial clasificados en ""A+ "" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""A+""y ""A"" frente las demás instituciones de la localidad",0
v4_e_073,04-e-073,"Porcentaje de los colegios en régimen especial clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""B"" frente las demás instituciones de la localidad",0
v4_e_074,04-e-074,"Porcentaje de los colegios en régimen especial clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""C""y ""D"" frente las demás instituciones de la localidad",0
v4_e_075,04-e-075,"Porcentaje de los colegios oficiales clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada oficiales con categoría de clasificación muy superior, superior o alto 7 total colegios-jornada oficial evaluados * 100 Nota: los datos de 2008-2011 son calculados con una nueva metodología, según resolución 489 de 2008; adicionalmente para 2011 hubo cambio nuevamente, resolución 569 de 2011 expedida por el ICFES.",0
v4_e_076,04-e-076,"Porcentaje de los colegios NO oficiales clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada NO oficiales con categoría de clasificación muy superior, superior o alto",0
v4_e_077,04-e-077,"Porcentaje de los colegios oficiales EN CONCESIÓN clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada en concesión con categoría de clasificación muy superior, superior o alto",0
v4_e_078,04-e-078,"Porcentaje de los colegios oficiales EN CONVENIO clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada en convenio con categoría de clasificación muy superior, superior o alto",0
v4_e_079,04-e-079,"Porcentaje de colegios oficiales en categoría medio, bajo, inferior y muy inferior en la prueba SABER 11.",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada oficiales con categoría de clasificación medio, bajo, inferior y muy inferior en la prueba SABER 11.",0
v4_e_080,04-e-080,"Porcentaje de colegios NO oficiales en categoría medio, bajo, inferior y muy inferior en la prueba SABER 11.",Nu,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada NO oficiales con categoría de clasificación medio, bajo, inferior y muy inferior en la prueba SABER 11.",0
v4_e_081,04-e-081,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 3, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",0
v4_e_082,04-e-082,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 3, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",0
v4_e_083,04-e-083,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 3, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,0
v4_e_084,04-e-084,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 3, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,0
v4_e_085,04-e-085,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",0
v4_e_086,04-e-086,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",0
v4_e_087,04-e-087,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,0
v4_e_088,04-e-088,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,0
v4_e_089,04-e-089,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",0
v4_e_090,04-e-090,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 9, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",0
v4_e_091,04-e-091,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 9, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,0
v4_e_092,04-e-092,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 9, area de Lenguajes",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,0
v4_e_093,04-e-093,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 3, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría AVANZADA, en el área de matemáticas",0
v4_e_094,04-e-094,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 3, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",0
v4_e_095,04-e-095,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 3, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",0
v4_e_096,04-e-096,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 3, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",0
v4_e_097,04-e-097,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de Matemáticas",0
v4_e_098,04-e-098,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",0
v4_e_099,04-e-099,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",0
v4_e_100,04-e-100,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",0
v4_e_101,04-e-101,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Matemáticas",0
v4_e_102,04-e-102,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 9, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",0
v4_e_103,04-e-103,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 9, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",0
v4_e_104,04-e-104,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 9, area de Matemáticas",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",0
v4_e_105,04-e-105,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Ciencias Naturales",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de ciencias naturales",0
v4_e_106,04-e-106,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Ciencias Naturales",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de ciencias naturales",0
v4_e_107,04-e-107,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Ciencias Naturales",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA, en el área de ciencias naturales",0
v4_e_108,04-e-108,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Ciencias Naturales",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE, en el área de ciencias naturales",0
v4_e_109,04-e-109,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Ciencias Naturales",Nu,ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Ciencias Naturales",0
